Reference No,title,Duration,Instructors
[' CRS-Q-0034789-ICT '],NICF- Social Media Analytics  (SF),[' 3 days '],"['Ms. LIM Wee Khee ', 'Ms. Alexis CHEONG']"
[' CRS-Q-0035988-ICT '],"NICF- Python for Data, Ops and Things  (SF)",[' 10 days '],['Mr. Prasanna VEERAPANDI ']
[' CRS-Q-0036526-ICT '],NICF- ITIL Foundation Certificate in IT Service Management  (SF),[' 3 days '],"['Mr. Harold Petersen', 'Mr. Jamie Donoghue', 'Mr. Krist YONG']"
[' CRS-Q-0036091-ICT '],NICF- Designing Cloud-enabled Mobile Applications  (SF),[' 3 days '],"['Dr. Esther TAN ', 'Mr. Chris Hampartsoumian']"
[' CRS-Q-0036099-ICT '],NICF- Data Driven Decision Making  (SF),[' 1 day '],"['Mr. Nirmal Raja PALAPARTHI ', 'Ms. Catherine KHAW', 'Dr. LEONG Mun Kew']"
[' CRS-Q-0033517-ICT '],NICF- Data Analytics Process and Best Practice  (SF),[' 3 days '],"['Mr. Nirmal Raja PALAPARTHI ', 'Mr. Brandon NG ', 'Mr. Prakash Chandra SUKHWAL', 'Mr. Richard TAN ']"
[' CRS-Q-0037773-ICT '],NICF- Cognitive Systems  (SF),[' 3 days '],"['Mr. Prasanna VEERAPANDI', 'Dr. TIAN Jing', 'Dr. WANG Aobo']"
[' CRS-Q-0034841-ICT '],NICF- DevOps Engineering and Automation  (SF),[' 4 days '],"['Mr. Chandrasekaran PARAMASIVAM', 'Mr. Kenneth PHANG ']"
[' CRS-Q-0034790-ICT '],NICF- Business Analysis for Agile Practitioners  (SF),[' 2 days '],['Mr. Michael TAN ']
[],,[],[]
[' CRS-Q-0034789-ICT '],NICF- Social Media Analytics  (SF),[' 3 days '],"['Ms. LIM Wee Khee ', 'Ms. Alexis CHEONG']"
[' CRS-Q-0036098-ICT '],NICF- Innovation Bootcamp  (SF),[' 1 day '],"['Ms. LIM Wee Khee ', 'Mr. Alvin CHIA ', 'Mr. Joshua TEO', 'Mr. Reuben PNG', 'Ms. Vivien CHAN']"
[' CRS-Q-0036795-ICT '],"NICF- ITIL Release, Control and Validation Certificate  (SF)",[' 5 days '],"['Mr. Harold Petersen', 'Mr. Jamie Donoghue', 'Mr. Krist YONG']"
[' CRS-Q-0034842-ICT '],NICF- Platform Engineering  (SF),[' 3 days '],"['Mr. HENG Boon Kui', 'Ms. Swarnalatha ASHOK']"
[' CRS-Q-0037065-ICT '],NICF- Digital User Experience Design  (SF),[' 3 days '],"['Mr. Michael TAN ', 'Ms. CHIN Wun Yunn', 'Mr. NG Wei Lieh', 'Mr. Reuben PNG']"
[' CRS-Q-0036098-ICT '],NICF- Innovation Bootcamp  (SF),[' 1 day '],"['Ms. LIM Wee Khee ', 'Mr. Alvin CHIA ', 'Mr. Joshua TEO', 'Mr. Reuben PNG', 'Ms. Vivien CHAN']"
[' CRS-Q-0034790-ICT '],NICF- Business Analysis for Agile Practitioners  (SF),[' 2 days '],['Mr. Michael TAN ']
[' CRS-Q-0034785-ICT '],NICF- Data Storytelling  (SF),[' 3 days '],"['Mr. Brandon NG ', 'Ms. Catherine KHAW', 'Dr. Kate LAZARENKO', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Mr. Rajnish TULI', 'Ms. Tamsin Emma Maria GREULICH-SMITH', 'Dr. TAN Jen Hong']"
[' CRS-Q-0034795-ICT '],NICF- Statistics for Business  (SF),[' 3 days '],"['Mr. Charles PANG ', 'Mr. Dave HUFTON', 'Mr. Neumann CHEW', 'Mr. Rajnish TULI']"
[' CRS-Q-0037782-ICT '],NICF- Digital Product Strategy  (SF),[' 3.7 days '],"['Mr. TAN Tzann Chang ', 'Mr. CHAK Kong Soon ', 'Mr. Daniel BOEY ', 'Ms. Nadine YAP', 'Mr. PANG Teck Chun']"
[' CRS-Q-0037782-ICT '],NICF- Digital Product Strategy  (SF),[' 3.7 days '],"['Mr. TAN Tzann Chang ', 'Mr. CHAK Kong Soon ', 'Mr. Daniel BOEY ', 'Ms. Nadine YAP', 'Mr. PANG Teck Chun']"
[],"Professional Conversion Programmes - NUS ISS",[],[]
[' CRS-Q-0033518-ICT '],NICF- Securing IoT  (SF),[' 2 days '],"['Mr. NG Kok Leong ', 'Mr. Ananth Prasad Babji Subba', 'Mr. Pishu MAHTANI ']"
[' CRS-Q-0034796-ICT '],NICF- Customer Analytics  (SF),[' 3 days '],"['Mr. Eric THAM ', 'Mr. Dave HUFTON', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Mr. Rajnish TULI', 'Dr. Rita CHAKRAVARTI']"
[' CRS-Q-0034740-ICT '],NICF- (ISC) CISSP CBK Training Seminar  (SF),[' 5 days '],"['Ms. Angela HUANG ', 'Mr. CHEONG Kok Yin', 'Mr. Christopher LEK', 'Mr. HOO Chuan Wei', 'Mr. LEONG Kai Seng', 'Mr. Martin LUI', 'Mr. NG Kok Leong', 'Mr. Winston CHEW']"
[' CRS-Q-0036918-ICT '],NICF- (ISC)2 CCSP CBK Training Seminar  (SF),[' 5 days '],"['Mr. NG Kok Leong ', 'Ms. Angela HUANG ', 'Mr. LIM Thow Chang']"
[' CRS-Q-0035259-ICT '],NICF- Intelligent Sensing and Sense Making  (SF),[' 4 days '],"['Dr. TIAN Jing ', 'Dr. TAN Jen Hong']"
[' CRS-Q-0036101-ICT '],NICF- Certified LeSS Practitioner - Principles to Practices  (SF),[' 3 days '],"['Mr. GOH Boon Nam ', 'Mr. Bas VODDE']"
[' CRS-Q-0036478-ICT '],NICF- Reasoning Systems  (SF),[' 5 days '],"['Mr. GU Zhan ', 'Dr. FAN Zhen Zhen', 'Dr. ZHU Fang Ming']"
[],,[],[]
[' CRS-Q-0036919-ICT '],NICF-Service Analytics  (SF),[' 3 days '],"['Mr. Chandrasekaran PARAMASIVAM ', 'Mr. Neumann CHEW', 'Mr. Rajnish TULI']"
[' CRS-Q-0035990-ICT '],NICF- Certified ScrumMaster  (SF),[' 3 days '],['Mr. Pete DEEMER']
[' CRS-Q-0035471-ICT '],NICF- Digital Transformation Planning  (SF),[' 3 days '],"['Mr. Nicholas TAN ', 'Dr. HOE Siu Loon', 'Dr. Kate LAZARENKO', 'Ms. Tamsin Emma Maria GREULICH-SMITH', 'Mrs. TAN Lay Ngan']"
[' CSPO '],"Certified Scrum Product Owner",[' 2 days '],['Mr. Pete DEEMER']
[' CRS-Q-0037189-ICT '],NICF- Certified Enterprise Architecture Practitioner Course  (SF),[' 7 days '],"['Mr. TAN Eng Tsze ', 'Mr. GOH Boon Nam', 'Mr. Nicholas TAN ', 'Mr. Richard TAN ', 'Mrs. TAN Lay Ngan']"
[' CRS-Q-0034793-ICT '],NICF- Predictive Analytics - Insights of Trends and Irregularities  (SF),[' 5 days '],"['Mr. Rajnish TULI ', 'Mr. Eric THAM', 'Mr. Prakash Chandra SUKHWAL', 'Dr. Rita CHAKRAVARTI', 'Dr. TIAN Jing', 'Dr. ZHU Fang Ming']"
